english	translation	category	sub_category	source
Vorkath is an undead blue dragon boss found in the crater on the island of Ungael north of the Fremennik Province.  Attack Styles - Melee, Ranged, Magic, Special, Dragonfire Immunities - Poison, Venom Slayer Categories - Blue Dragon, Zombie	Vorkath is an undead blue dragon boss found in the crater on the island of Ungael north of the Fremennik Province.  Attack Styles - Melee, Ranged, Magic, Special, Dragonfire Immunities - Poison, Venom Slayer Categories - Blue Dragon, Zombie	interface	combAchvmt	
Mandatory requirements: - Dragon Slayer II  Combat Achievement task difficulty: - Elite - Master - Grandmaster	Kötelező követelmények: - Dragon Slayer II  Harci teljesítmény nehézség: - Elite - Master - Grandmaster	interface	combAchvmt	
Combat Achievements - The Whisperer	Combat Achievements - The Whisperer	interface	combAchvmt	
The Whisperer is a boss found within the Lassar Undercity, deep beneath Ice Mountain.  Attack Styles - Melee, Ranged, Magic, Special Immunities - Poison, Venom Slayer Categories - None	The Whisperer is a boss found within the Lassar Undercity, deep beneath Ice Mountain.  Attack Styles - Melee, Ranged, Magic, Special Immunities - Poison, Venom Slayer Categories - None	interface	combAchvmt	
Combat Achievements - Wintertodt	Combat Achievements - Wintertodt	interface	combAchvmt	
The Wintertodt is a skilling boss located in the Northern Tundras of Great Kourend, east of the Fishing Hamlet.  Attack Styles - Special Immunities - Special Slayer Categories - None	The Wintertodt is a skilling boss located in the Northern Tundras of Great Kourend, east of the Fishing Hamlet.  Attack Styles - Special Immunities - Special Slayer Categories - None	interface	combAchvmt	
Mandatory requirements: - <Num0> Firemaking  Combat Achievement task difficulty: - Easy - Medium - Hard	Kötelező követelmények: - <Num0> Firemaking  Harci teljesítmény nehézség: - Easy - Medium - Hard	interface	combAchvmt	
Combat Achievements - Zalcano	Combat Achievements - Zalcano	interface	combAchvmt	
Zalcano is a demon skilling boss imprisoned beneath the elven capital city of Prifddinas.  Attack Styles - Special Immunities - Special Slayer Categories - None	Zalcano is a demon skilling boss imprisoned beneath the elven capital city of Prifddinas.  Attack Styles - Special Immunities - Special Slayer Categories - None	interface	combAchvmt	
Mandatory requirements: - Song of the Elves - A pickaxe  Combat Achievement task difficulty: - Elite	Kötelező követelmények: - Song of the Elves - A pickaxe  Harci teljesítmény nehézség: - Elite	interface	combAchvmt	
Combat Achievements - Zulrah	Combat Achievements - Zulrah	interface	combAchvmt	
Zulrah is a snake boss found at their shrine within the Poison Wastes south of Isafdar. The followers of Zul-Andra provide access to the shrine via rowboat.  Attack Styles - Melee, Ranged, Magic. Immunities - Poison, Venom Slayer Categories - None	Zulrah is a snake boss found at their shrine within the Poison Wastes south of Isafdar. The followers of Zul-Andra provide access to the shrine via rowboat.  Attack Styles - Melee, Ranged, Magic. Immunities - Poison, Venom Slayer Categories - None	interface	combAchvmt	
Mandatory requirements: - Regicide  Combat Achievement task difficulty: - Hard - Elite - Master - Grandmaster	Kötelező követelmények: - Regicide  Harci teljesítmény nehézség: - Hard - Elite - Master - Grandmaster	interface	combAchvmt	
Combat Achievements - Rewards	Harci teljesítmények – Jutalmak	interface	combAchvmt	
<Num0>k XP lamp (minimum skill requirement: <Num1>)	<Num0>k XP lámpa (minimum szintkövetelmény: <Num1>)	interface	combAchvmt	
The drop chance of a <colNum0>Clue Scroll (Easy)</col> from all sources (excl. implings) is increased by <Num0>%	(Easy) (excl. implings)	interface	combAchvmt	
The maximum quantity assigned from the <colNum0>Like a boss</col> slayer reward is increased by <Num0>		interface	combAchvmt	
<Num0>% bonus to tokens earned from <colNum0>Warrior Guild</col> activities	<Num0>% bónusz a <colNum0>Warrior Guild</col> tevékenységekből szerzett zsetonokhoz	interface	combAchvmt	
<Num0> additional commendation point from successful <colNum0>Pest Control</col> games	<Num0> extra ajánlópont sikeres <colNum0>Pest Control</col> játékokból	interface	combAchvmt	
<colNum0>Ghommal's hilt <Num0></col>	<colNum0>Ghommal csípője <Num0></col>	interface	combAchvmt	
Daily Trollheim teleports - <Num0>	Napi Trollheim teleportok – <Num0>	interface	combAchvmt	
The drop chance of a <colNum0>Clue Scroll (Medium)</col> from all sources (excl. implings) is increased by <Num0>%	(Medium) (excl. implings)	interface	combAchvmt	
<Num0> additional commendation points from successful <colNum0>Pest Control</col> games	<Num0> extra ajánlópont sikeres <colNum0>Pest Control</col> játékokból	interface	combAchvmt	
Immunity from the prayer draining effect at <colNum0>Barrows</col> when one of <colNum1>Ghommal's hilts</col> is equipped	Immunis vagy az ima-fogyasztó hatástól a <colNum0>Barrows</col>-ban, ha <colNum1>Ghommal markolata</col> van felszerelve	interface	combAchvmt	
The <colNum0>Dwarf multicannon</col> can hold <Num0> extra cannonballs		interface	combAchvmt	
The drop chance of a <colNum0>Clue Scroll (Hard)</col> from all sources (excl. implings) is increased by <Num0>%	(Hard) (excl. implings)	interface	combAchvmt	
You can fight <colNum0>the Hueycoatl</col> privately for a reduced fee of <Num0>k coins		interface	combAchvmt	
Item imbue rewards at <colNum0>Soul Wars</col> and the <colNum1>Nightmare Zone</col> are <Num0>% cheaper	A <colNum0>Soul Wars</col> és a <colNum1>Nightmare Zone</colNum1> tárgy-feltöltési jutalmak <Num0>%-kal olcsóbbak	interface	combAchvmt	
The ability to combine <colNum0>KBD Heads</col> with a <colNum1>Dragon Hunter Crossbow</col> to recolour it		interface	combAchvmt	
The drop chance of a <colNum0>Clue Scroll (Elite)</col> from all sources (excl. implings) is increased by <Num0>%	(Elite) (excl. implings)	interface	combAchvmt	
The <colNum0>Bracelet of slaughter</col> will have a <Num0>% chance to fully recharge instead of breaking		interface	combAchvmt	
The <colNum0>Expeditious bracelet</col> has a <Num0>% chance to fully recharge instead of breaking		interface	combAchvmt	
Superior slayer creatures are <Num0>% more common		interface	combAchvmt	
Daily Mor Ul Rek teleports - <Num0>	Napi Mor Ul Rek teleportok – <Num0>	interface	combAchvmt	
The ability to combine <colNum0>Vorkath's Head</col> with a <colNum1>Dragon Hunter Crossbow</col> to recolour it		interface	combAchvmt	
The ability to make a <colNum0>TzTok Slayer Helmet</col>		interface	combAchvmt	
The ability to make a <colNum0>Vampyric Slayer Helmet</col>		interface	combAchvmt	
Access to <colNum0>Ghommal's lucky penny</col>	Hozzáférés: <colNum0>Ghommal szerencsés érméje</col>	interface	combAchvmt	
When you are assigned a <colNum0>TzTok-Jad</col> or <colNum1>TzKal-Zuk</col> slayer task you will be assigned to kill <Num0>		interface	combAchvmt	
The drop chance of an <colNum0>Ecumenical Key</col> is increased by <Num0>%		interface	combAchvmt	
The essence required to access a <colNum0>God Wars</col> boss is reduced to <Num0>		interface	combAchvmt	
You can access a privately rented <colNum0>God Wars</col> boss instance for a fee of <Num0>k coins		interface	combAchvmt	
Your thralls will last <Num0>% longer		interface	combAchvmt	
Daily Trollheim teleports - Unlimited	Daily Trollheim teleports - Unlimited	interface	combAchvmt	
Daily Mor Ul Rek teleports - Unlimited	Daily Mor Ul Rek teleports - Unlimited	interface	combAchvmt	
The ability to make a <colNum0>TzKal Slayer Helmet</col>		interface	combAchvmt	
The ability to combine an Avernic defender with Ghommal's hilt <Num0> to create <colNum0>Ghommal's Avernic Defender <Num1></col>		interface	combAchvmt	
None	Nincs	interface	combAchvmt	
Moons of Peril	Moons of Peril	interface	combAchvmt	
The Hueycoatl	The Hueycoatl	interface	combAchvmt	
Amoxliatl	Amoxliatl	interface	combAchvmt	
Grotesque Guardians	Grotesque Guardians	interface	combAchvmt	
Theatre of Blood: Entry Mode	Theatre of Blood: Entry Mode	interface	combAchvmt	
Tombs of Amascut: Entry Mode	Tombs of Amascut: Entry Mode	interface	combAchvmt	
Thermy	Thermy	interface	combAchvmt	
Chambers of Xeric: CM	Chambers of Xeric: CM	interface	combAchvmt	
TzHaar-Ket-Rak's Challenges	TzHaar-Ket-Rak's Challenges	interface	combAchvmt	
Tombs of Amascut: Expert Mode	Tombs of Amascut: Expert Mode	interface	combAchvmt	
Theatre of Blood: Hard Mode	Theatre of Blood: Hard Mode	interface	combAchvmt	
Stamina	Állóképesség.	interface	combAchvmt	
Perfection	Perfection	interface	combAchvmt	
Kill Count	Kill Count	interface	combAchvmt	
Mechanical	Mechanical	interface	combAchvmt	
Restriction	Restriction	interface	combAchvmt	
Speed	Speed	interface	combAchvmt	
Abyssal Sire	Abyssal Sire	interface	combAchvmt	
Alchemical Hy...	Alchemical Hy...	interface	combAchvmt	
Araxxor	Araxxor	interface	combAchvmt	
Barrows	Barrows	interface	combAchvmt	
Bryophyta	Bryophyta	interface	combAchvmt	
Callisto	Callisto	interface	combAchvmt	
Chaos Elemental	Chaos Elemental	interface	combAchvmt	
Chaos Fanatic	Chaos Fanatic	interface	combAchvmt	
Crazy Archae...	Crazy Archae...	interface	combAchvmt	
Chambers of ...	Chambers of ...	interface	combAchvmt	
CM: Chambers...	CM: Chambers...	interface	combAchvmt	
Corporeal Be...	Corporeal Be...	interface	combAchvmt	
Commander Zi...	Commander Zi...	interface	combAchvmt	
Crystalline Hu...	Crystalline Hu...	interface	combAchvmt	
Corrupted Hu...	Corrupted Hu...	interface	combAchvmt	
DK: Prime	DK: Prime	interface	combAchvmt	
DK: Rex	DK: Rex	interface	combAchvmt	
DK: Supreme	DK: Supreme	interface	combAchvmt	
Deranged Arc...	Deranged Arc...	interface	combAchvmt	
Duke Sucellus	Duke Sucellus	interface	combAchvmt	
Fortis Coloss...	Fortis Coloss...	interface	combAchvmt	
General Graar...	General Graar...	interface	combAchvmt	
Giant Mole	Giant Mole	interface	combAchvmt	
Grotesque Gu...	Grotesque Gu...	interface	combAchvmt	
Hueycoatl, The	Hueycoatl, The	interface	combAchvmt	
Kalphite Queen	Kalphite Queen	interface	combAchvmt	
King Black Dra...	King Black Dra...	interface	combAchvmt	
Kraken	Kraken	interface	combAchvmt	
Kree'arra	Kree'arra	interface	combAchvmt	
K'ril Tsutsaroth	K'ril Tsutsaroth	interface	combAchvmt	
Leviathan, The	Leviathan, The	interface	combAchvmt	
Mimic, The	Mimic, The	interface	combAchvmt	
Nex	Nex	interface	combAchvmt	
Nightmare, The	Nightmare, The	interface	combAchvmt	
Phosani's Nig...	Phosani's Nig...	interface	combAchvmt	
Obor	Obor	interface	combAchvmt	
Phantom Musp...	Phantom Musp...	interface	combAchvmt	
Royal Titans	Royal Titans	interface	combAchvmt	
Scurrius	Scurrius	interface	combAchvmt	
Sarachnis	Sarachnis	interface	combAchvmt	
Scorpia	Scorpia	interface	combAchvmt	
Skotizo	Skotizo	interface	combAchvmt	
Tempoross	Tempoross	interface	combAchvmt	
EM: Theatre of...	EM: Theatre of...	interface	combAchvmt	
Theatre of Blo...	Theatre of Blo...	interface	combAchvmt	
HM: Theatre o...	HM: Theatre o...	interface	combAchvmt	
EM: Tombs of ...	EM: Tombs of ...	interface	combAchvmt	
Tombs of Ama...	Tombs of Ama...	interface	combAchvmt	
XM: Tombs of ...	XM: Tombs of ...	interface	combAchvmt	
TzHaar-Ket-Rak	TzHaar-Ket-Rak	interface	combAchvmt	
TzKal-Zuk	TzKal-Zuk	interface	combAchvmt	
TzTok-Jad	TzTok-Jad	interface	combAchvmt	
Vardorvis	Vardorvis	interface	combAchvmt	
Venenatis	Venenatis	interface	combAchvmt	
Vet'ion	Vet'ion	interface	combAchvmt	
Vorkath	Vorkath	interface	combAchvmt	
Whisperer, The	Whisperer, The	interface	combAchvmt	
Zalcano	Zalcano	interface	combAchvmt	
Zulrah	Zulrah	interface	combAchvmt	
Fragment of S...	Fragment of S...	interface	combAchvmt	
Glough	Glough	interface	combAchvmt	
Galvek	Galvek	interface	combAchvmt	
Greater Demons	Greater Demons	interface	combAchvmt	
Lizardman Sh...	Lizardman Sh...	interface	combAchvmt	
Black Dragons	Black Dragons	interface	combAchvmt	
Fire Giants	Fire Giants	interface	combAchvmt	
Hellhounds	Hellhounds	interface	combAchvmt	
Aberrant Spe...	Aberrant Spe...	interface	combAchvmt	
Demonic Gorill...	Demonic Gorill...	interface	combAchvmt	
Skeletal Wyve...	Skeletal Wyve...	interface	combAchvmt	
Kurasks	Kurasks	interface	combAchvmt	
Brutal Black D...	Brutal Black D...	interface	combAchvmt	
Giants	Giants	interface	combAchvmt	
Tormented De...	Tormented De...	interface	combAchvmt	
Incomplete	Befejezetlen	interface	combAchvmt	
Complete	Complete	interface	combAchvmt	
Aberrant Spec...	Aberrant Spec...	interface	combAchvmt	
Alchemical Hyd...	Alchemical Hyd...	interface	combAchvmt	
Basilisk Knights	Basilisk Knights	interface	combAchvmt	
Bloodvelds	Bloodvelds	interface	combAchvmt	
Cerberus	Cerberus	interface	combAchvmt	
Chambers of X...	Chambers of X...	interface	combAchvmt	
CM: Chambers ...	CM: Chambers ...	interface	combAchvmt	
Commander Zil...	Commander Zil...	interface	combAchvmt	
Corporeal Beast	Corporeal Beast	interface	combAchvmt	
Corrupted Hun...	Corrupted Hun...	interface	combAchvmt	
Demonic Gorillas	Demonic Gorillas	interface	combAchvmt	
EM: Tombs of A...	EM: Tombs of A...	interface	combAchvmt	
Fortis Colosse...	Fortis Colosse...	interface	combAchvmt	
Gargoyles	Gargoyle-ok	interface	combAchvmt	
Hespori	Hespori	interface	combAchvmt	
HM: Theatre of...	HM: Theatre of...	interface	combAchvmt	
Lizardman Sha...	Lizardman Sha...	interface	combAchvmt	
Other	Egyéb	interface	combAchvmt	
Tombs of Amas...	Tombs of Amas...	interface	combAchvmt	
Wintertodt	Wintertodt	interface	combAchvmt	
Wyrms	Wyrms	interface	combAchvmt	
Chambers of Xeric: Challenge Mode	Chambers of Xeric: Challenge Mode	interface	combAchvmt	
Phosanis Nightmare	Phosanis Nightmare	interface	combAchvmt	
The Royal Titans	The Royal Titans	interface	combAchvmt	
Combat Achievements - <!NPC_NAME0>	Harci teljesítmények – <!NPC_NAME0>	interface	combAchvmt	
Monster: <colNum0><!NPC_NAME0></col>		interface	combAchvmt	
Welcome to Old School RuneScape	Üdvözlünk az Old School RuneScape-ben	interface	loginScreen	
You last logged in a minute ago.	Utoljára egy perce voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> minutes ago.	Utoljára <Num0> perccel ezelőtt voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> hours ago.	Utoljára <Num0> órával ezelőtt voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> hours, <Num1> minutes ago.	Utoljára <Num0> órával és <Num1> perccel ezelőtt voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> days ago.	Utoljára <Num0> nappal ezelőtt voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> days, <Num1> hours ago.	Utoljára <Num0> nappal és <Num1> órával ezelőtt voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> days, <Num1> minutes ago.	Utoljára <Num0> nappal és <Num1> perccel ezelőtt voltál bejelentkezve.	interface	loginScreen	
You last logged in <Num0> days, <Num1> hours, <Num2> minutes ago.	Utoljára <Num0> nappal, <Num1> órával és <Num2> perccel ezelőtt voltál bejelentkezve.	interface	loginScreen	
You have <colNum0><Num0></col> days of membership left.	Még <colNum0><Num0></col> napod van tagságodból.	interface	loginScreen	
You have <colNum0><Num0></col> day of membership left.	Még <colNum0><Num0></col> napod van tagságodból.	interface	loginScreen	
You are not a member. Subscribe to access extra skills, areas, quests, and more.	Nem vagy tag. Iratkozz fel, hogy hozzáférhess extra készségekhez, területekhez, küldetésekhez és egyebekhez.	interface	loginScreen	
You have <Num0> unread messages in your inbox.	<Num0> olvasatlan üzeneted van a postaládádban.	interface	loginScreen	
CLICK HERE TO PLAY	KATTINTS IDE A JÁTÉKHOZ	interface	loginScreen	
It's been some time coming but this weeks update contains almost all of the QoL changes as proposed in <colNum0>Poll <Num0></col>! With a variety of changes, please check out the <colNum1>update post</col> for all the latest info!	Egy ideje várt már rá, de a héten megjelenő frissítés szinte az összes életminőség-módosítást tartalmazza, amelyeket a <colNum0>Szavazás <Num0></col> javasolt! A változtatásokról az <colNum1>update posztban</colNum1> olvashatsz.	interface	loginScreen	
Friends - W<Num0> (<Num1>/<Num2>)	Barátok – W<Num0> (<Num1>/<Num2>)	interface	mainTabs	friendsTab
<colNum0>World <Num0>	<colNum0>Világ <Num0>	interface	mainTabs	friendsTab
World <Num0>	Világ <Num0>	interface	mainTabs	friendsTab
Offline	Offline	interface	mainTabs	friendsTab
Del Friend	Barát törlése	interface	mainTabs	friendsTab
Ignores - W<Num0> (<Num1>/<Num2>)	Tiltólista – W<Num0> (<Num1>/<Num2>)	interface	mainTabs	ignoreTab
Add Name	Név hozzáadása	interface	mainTabs	ignoreTab
Del Name	Név törlése	interface	mainTabs	ignoreTab
Add Friend	Barát hozzáadása	interface	mainTabs	friendsTab
You may ignore users by using the button below, or by right-clicking on a message from them and selecting to add them to your ignore list.	A lenti gombbal, vagy az üzenetükre jobb gombbal kattintva és a tiltólistára adás lehetőséget választva tudod figyelmen kívül hagyni a felhasználókat.	interface	mainTabs	ignoreTab
You may add friends by using the button below, or by right-clicking on a message from them and selecting to add them as a friend.	A lenti gombbal, vagy az üzenetükre jobb gombbal kattintva és a barátként való hozzáadás lehetőséget választva tudsz barátokat hozzáadni.	interface	mainTabs	friendsTab
Account	Fiók	interface	mainTabs	accountManagementTab
Membership: <Num0> days left	Tagság: még <Num0> nap	interface	mainTabs	accountManagementTab
Open Store	Bolt megnyitása	interface	mainTabs	accountManagementTab
Bond Pouch	Bond Pouch	interface	mainTabs	accountManagementTab
Inbox: <Num0> unread messages	Beérkező: <Num0> olvasatlan üzenet	interface	mainTabs	accountManagementTab
View Inbox	Beérkező megtekintése	interface	mainTabs	accountManagementTab
Name Changer	Névváltás	interface	mainTabs	accountManagementTab
Membership: <colNum0>None</col>	Tagság: <colNum0>Nincs</col>	interface	mainTabs	accountManagementTab
Upgrade Now	Frissítés most	interface	mainTabs	accountManagementTab
View Benefits	Előnyök megtekintése	interface	mainTabs	accountManagementTab
Community	Közösség	interface	mainTabs	accountManagementTab
Current Poll: <colNum0>Inactive</col>	Aktuális szavazás: <colNum0>Inaktív</col>	interface	mainTabs	accountManagementTab
View Poll	Szavazás megtekintése	interface	mainTabs	accountManagementTab
View History	Előzmények megtekintése	interface	mainTabs	accountManagementTab
Latest Update	Latest Update	interface	mainTabs	accountManagementTab
View Newspost	View Newspost	interface	mainTabs	accountManagementTab
View Archive	View Archive	interface	mainTabs	accountManagementTab
Useful Links	Useful Links	interface	mainTabs	accountManagementTab
Old School Website	Old School Website	interface	mainTabs	accountManagementTab
Customer Support	TECHNIKAI TÁMOGATÁS	interface	mainTabs	accountManagementTab
Grand Exchange	Grand Exchange	interface	mainTabs	accountManagementTab
Hiscores	Hiscores	interface	mainTabs	accountManagementTab
Old School Wiki	Old School Wiki	interface	mainTabs	accountManagementTab
Merchandise	Merchandise	interface	mainTabs	accountManagementTab
Name: <!PLAYER_NAME0>		interface	mainTabs	accountManagementTab
Current Poll: <colNum0>Active</col>		interface	mainTabs	accountManagementTab
Vote Now	Vote Now	interface	mainTabs	accountManagementTab
All	Mind	interface	chatButtons	
Game 	Játék 	interface	chatButtons	
Public 	Nyilvános 	interface	chatButtons	
Private 	Privát 	interface	chatButtons	
 On	 Be	interface	chatButtons	
Channel 	Csatorna 	interface	chatButtons	
Clan 	Klán 	interface	chatButtons	
Trade 	Kereskedés 	interface	chatButtons	
Group 	Csoport 	interface	chatButtons	
 <colNum0>Autochat</col>	 <colNum0>Automatikus chat</col>	interface	chatButtons	
 <colNum0>Friends</col>	 <colNum0>Barátok</col>	interface	chatButtons	
 <colNum0>Filtered</col>	 <colNum0>Szűrt</col>	interface	chatButtons	
 <colNum0>Hide</col>	 <colNum0>Elrejtés</col>	interface	chatButtons	
 <colNum0>Off</col>	 <colNum0>Ki</col>	interface	chatButtons	
Unarmed	Fegyvertelen	interface	mainTabs	combatOptionsTab
Punch	Punch	interface	mainTabs	combatOptionsTab
Kick	Kick	interface	mainTabs	combatOptionsTab
Combat Lvl: <Num0>		interface	mainTabs	combatOptionsTab
Auto Retaliate (On)	Auto Retaliate (On)	interface	mainTabs	combatOptionsTab
Auto Retaliate (Off)	Auto Retaliate (Off)	interface	mainTabs	combatOptionsTab
Special Attack: <Num0>%		interface	mainTabs	combatOptionsTab
When active your character will automatically fight back if attacked.	When active your character will automatically fight back if attacked.	interface	mainTabs	combatOptionsTab
Category: Pickaxe	Category: Pickaxe	interface	mainTabs	combatOptionsTab
Category: Spear	Category: Spear	interface	mainTabs	combatOptionsTab
Category: Axe	Category: Axe	interface	mainTabs	combatOptionsTab
Category: Stab Sword	Category: Stab Sword	interface	mainTabs	combatOptionsTab
Category: Thrown	Category: Thrown	interface	mainTabs	combatOptionsTab
Category: Bow	Category: Bow	interface	mainTabs	combatOptionsTab
Category: Crossbow	Category: Crossbow	interface	mainTabs	combatOptionsTab
Category: Staff	Category: Staff	interface	mainTabs	combatOptionsTab
Category: Powered Staff	Category: Powered Staff	interface	mainTabs	combatOptionsTab
Category: 2h Sword	Category: 2h Sword	interface	mainTabs	combatOptionsTab
Category: Banner	Category: Banner	interface	mainTabs	combatOptionsTab
Category: Blunt	Category: Blunt	interface	mainTabs	combatOptionsTab
Category: Bludgeon	Category: Bludgeon	interface	mainTabs	combatOptionsTab
Category: Bulwark	Category: Bulwark	interface	mainTabs	combatOptionsTab
Category: Claw	Category: Claw	interface	mainTabs	combatOptionsTab
Category: Partisan	Category: Partisan	interface	mainTabs	combatOptionsTab
Category: Polearm	Category: Polearm	interface	mainTabs	combatOptionsTab
Category: Polestaff	Category: Polestaff	interface	mainTabs	combatOptionsTab
Category: Scythe	Category: Scythe	interface	mainTabs	combatOptionsTab
Category: Slash Sword	Category: Slash Sword	interface	mainTabs	combatOptionsTab
Category: Spiked	Category: Spiked	interface	mainTabs	combatOptionsTab
Category: Unarmed	Category: Unarmed	interface	mainTabs	combatOptionsTab
Category: Whip	Category: Whip	interface	mainTabs	combatOptionsTab
Category: Chinchompas	Category: Chinchompas	interface	mainTabs	combatOptionsTab
Category: Gun	Category: Gun	interface	mainTabs	combatOptionsTab
Category: Bladed Staff	Category: Bladed Staff	interface	mainTabs	combatOptionsTab
Category: Salamander	Category: Salamander	interface	mainTabs	combatOptionsTab
Category: Multi-style	Category: Multi-style	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Attack XP)	(Pontos) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Strength XP)	(Pontos) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Defence XP)	(Pontos) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Shared XP)	(Pontos) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Attack XP)	(Pontos) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Strength XP)	(Pontos) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Defence XP)	(Pontos) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Shared XP)	(Pontos) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Attack XP)	(Pontos) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Strength XP)	(Pontos) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Defence XP)	(Pontos) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Shared XP)	(Pontos) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Attack XP)	(Pontos) (Nehéz) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Strength XP)	(Pontos) (Nehéz) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Defence XP)	(Pontos) (Nehéz) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Shared XP)	(Pontos) (Nehéz) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Attack XP)	(Pontos) (Nehéz) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Strength XP)	(Pontos) (Nehéz) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Defence XP)	(Pontos) (Nehéz) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Shared XP)	(Pontos) (Nehéz) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Attack XP)	(Pontos) (Nehéz) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Strength XP)	(Pontos) (Nehéz) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Defence XP)	(Pontos) (Nehéz) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Shared XP)	(Pontos) (Nehéz) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Attack XP)	(Pontos) (Könnyű) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Strength XP)	(Pontos) (Könnyű) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Defence XP)	(Pontos) (Könnyű) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Shared XP)	(Pontos) (Könnyű) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Slash) (Attack XP)	(Pontos) (Könnyű) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Slash) (Strength XP)	(Pontos) (Könnyű) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Slash) (Defence XP)	(Pontos) (Könnyű) (Csapás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Slash) (Shared XP)	(Pontos) (Könnyű) (Csapás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Crush) (Attack XP)	(Pontos) (Könnyű) (Zúzás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Crush) (Strength XP)	(Pontos) (Könnyű) (Zúzás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Crush) (Defence XP)	(Pontos) (Könnyű) (Zúzás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Crush) (Shared XP)	(Pontos) (Könnyű) (Zúzás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Stab) (Attack XP)	(Pontos) (Normál) (Szúrás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Stab) (Strength XP)	(Pontos) (Normál) (Szúrás) (Erő XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Stab) (Defence XP)	(Pontos) (Normál) (Szúrás) (Védelem XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Stab) (Shared XP)	(Pontos) (Normál) (Szúrás) (Megosztott XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Slash) (Attack XP)	(Pontos) (Normál) (Csapás) (Támadás XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Standard) (Slash) (Strength XP)	(Pontos) (Normál) (Csapás) (Erő XP)	interface	mainTabs	combatOptionsTab
