english	translation	category	sub_category	source
Upgrade	Fejlesztés	actions	object	Tools
Work-at	Munka itt	actions	object	Workbench
Make-helmet	Sisak készítése	actions	object	Helmet pluming stand
Ring	Csörgés	actions	object	Bell
Quick-board	Gyors felszállás	actions	object	Swamp Boaty
Ride	Lovaglás	actions	object	Train cart
Observe	Megfigyelés	actions	object	Telescope
Leave-area	Terület elhagyása	actions	object	Ladder
Crack	Feltörés	actions	object	Wall safe
Pull-spade	Ásó húzása	actions	object	Stone Door
Guide	Útmutató	actions	object	Belladonna patch
Rake	Gereblyézés	actions	object	Belladonna patch
Cure	Gyógyítás	actions	object	Diseased Belladonna
Clear	Törlés	actions	object	Dead Belladonna
Check-health	Egészség ellenőrzése	actions	object	Cadavaberry bush
Prune	Nyírás	actions	object	Diseased cadavaberry bush
Pick-spine	Tüske szedése	actions	object	Cactus
Pick-fruit	Gyümölcs szedése	actions	object	Calquat tree
Gear	Felszerelés	actions	object	Supplies
Stats	Statisztikák	actions	object	Supplies
Standard spellbook	Alap varázskönyv	actions	object	Altar
Ancient spellbook	Ancient spellbook	actions	object	Altar
Lunar spellbook	Lunar spellbook	actions	object	Altar
Arceuus spellbook	Arceuus spellbook	actions	object	Altar
Pick-apple	Alma szedése	actions	object	Apple tree
Pick-pineapple	Ananász szedése	actions	object	Pineapple plant
Pick-banana	Banán szedése	actions	object	Banana tree
Pick-leaf	Levél szedése	actions	object	Curry tree
Pick-orange	Narancs szedése	actions	object	Orange tree
Pick-coconut	Kókusz szedése	actions	object	Palm tree
Harvest	Aratás	actions	object	Asgarnian Hops
Travel	Utazás	actions	object	Spirit Tree
Milk	Fejés	actions	object	Dairy cow
Steal-cowbell	Kolomp ellopása	actions	object	Dairy cow
Dismantle	Szétszerelés	actions	object	Young tree
Set-trap	Csapda felállítása	actions	object	Young tree
Release	Elengedés	actions	object	Gnome on a rack
Level	Szint	actions	object	Kelda Stout
Control	Irányítás	actions	object	Dwarven machinery
Return	Visszatérés	actions	object	Train cart
Chip	Hasogatás	actions	object	Dense runestone
Hack	Vágás	actions	object	Light Jungle
Quick-Pay(100)	Gyors fizetés (100)	actions	object	Hardwood Grove Doors
Refuel	Feltankolás	actions	object	Stove
Retrieve	Visszaszerzés	actions	object	Bars
Pedal	Pedálozás	actions	object	Pedals
Put-ore-on	Érc feltétele	actions	object	Conveyor belt
Fill-bucket	Vödör feltöltése	actions	object	Sink
Take-seed	Mag felvétele	actions	object	Roses
Attach	Rögzítés	actions	object	Ornate combat dummy
Swap	Csere	actions	object	Ornate combat dummy
Take-Coffin	Koporsó felvétele	actions	object	Grave
Make	Készítés	actions	object	Bed
Net	Háló	actions	object	Fishing spot
Ardougne	Ardougne	actions	object	Lever
Edgeville	Edgeville	actions	object	Lever
Swap-options	Lehetőségek cseréje	actions	object	Lever
Talk to	Megszólítás	actions	object	Tree
Exchange	Csere	actions	object	Grand Exchange booth
Lure	Csalivetés	actions	object	Ominous Fishing Spot
Bait	Csali	actions	object	Ominous Fishing Spot
Fish-In	Halászat itt	actions	object	Aquarium
Count	Számlálás	actions	object	Pressure Barrel
Swim	Úszás	actions	object	River
Look-up	Felkeresés	actions	object	Trellis
Spectate	Nézőként részvétel	actions	object	Rat wall
Deposit-box	Letéti doboz	actions	object	Bank booth
Grab	Megragadás	actions	object	Bones
Remove-coal	Szén eltávolítása	actions	object	Coal Truck
Take-sigil	Pecsét felvétele	actions	object	Pedestal
Empty-Out	Kiürítés	actions	object	Cannon
Fire!	Tűz!	actions	object	Cannon
Loot	Zsákmányolás	actions	object	Crate
Plunder	Kifosztás	actions	object	Closed chest
Ransack	Fosztogatás	actions	object	Barrel
Count-plunder	Zsákmány számlálása	actions	object	Plunder Storage
Store-plunder	Zsákmány tárolása	actions	object	Plunder Storage
Take-powder	Por felvétele	actions	object	Powder Barrel
Waterproof	Vízállóvá tétel	actions	object	Ship hull
Balance	Egyensúlyozás	actions	object	Narrow wall
Teeth-grip	Fogással megfogás	actions	object	Zip line
Drain	Leszívás	actions	object	Barrel
Churn	Köpülés	actions	object	Dairy churn
Zanaris	Zanaris	actions	object	Fairy ring
Configure	Beállítás	actions	object	Fairy ring
Last-destination (AIP)	Utolsó célállomás (AIP)	actions	object	Fairy ring
Escape	Menekülés	actions	object	Cave entrance
Examine	Vizsgálat	actions	object	Healing certificate
Shape-Canoe	Kenu alakítása	actions	object	Canoe Station
Float Log	Rönk lebegtetése	actions	object	Canoe Station
Float Canoe	Kenu lebegtetése	actions	object	Canoe Station
Paddle Log	Rönk evezése	actions	object	Canoe Station
Paddle Canoe	Kenu evezése	actions	object	Canoe Station
Look-inside	Benézés	actions	object	Mole hill
Buy-food	Étel vásárlása	actions	object	Chest
Buy-items	Tárgyak vásárlása	actions	object	Chest
Quick-escape	Gyors menekülés	actions	object	Door
Pick-Fruit	Gyümölcs szedése	actions	object	Sq'irk tree
Stand-on	Ráállás	actions	object	Balance beam
Get-down	Lemenetel	actions	object	Balance beam
Change-clothes	Ruhacsere	actions	object	Shoe box
Preen	Tollászkodás	actions	object	Shaving stand
Haircut	Hajvágás	actions	object	Shaving stand
Shave	Borotválás	actions	object	Shaving stand
Pray	Ima	actions	object	Altar
Re-light	Újrafelgyújtás	actions	object	Incense burner
Build-in	Beépítés	actions	object	Cage
Force	Kényszerítés	actions	object	Door
Activate	Aktiválás	actions	object	Treasure Hunt Fairy House
Set-up	Beállítás	actions	object	Attack stone
Hoop	Karika	actions	object	Stick
Throw-at	Dobás ide	actions	object	Dartboard
Shoot-at	Lövés ide	actions	object	Archery target
Karamja	Karamja	actions	object	Amulet of Glory
Draynor Village	Draynor Village	actions	object	Amulet of Glory
Al Kharid	Al Kharid	actions	object	Amulet of Glory
Take-kettle	Vízforraló felvétele	actions	object	Firepit with hook
Sleep-in	Alvás benne	actions	object	Pet blanket
Last-destination (AIS)	Utolsó célállomás (AIS)	actions	object	Fairy ring
Last-destination (AIR)	Utolsó célállomás (AIR)	actions	object	Fairy ring
Last-destination (AIQ)	Utolsó célállomás (AIQ)	actions	object	Fairy ring
Direct-portal	Portál irányítása	actions	object	Scrying pool
Scry	Jóslás	actions	object	Scrying pool
Challenge-mode	Kihívás mód	actions	object	Lever
Evade-event	Esemény elkerülése	actions	object	Path
Continue-trek	Túra folytatása	actions	object	Path
Swing-from	Lendülés	actions	object	Swamp tree branch
Cut-vine	Inda vágása	actions	object	Swamp tree
Escape-event	Eseményből menekülés	actions	object	Boat
Return-to-Burgh	Visszatérés Burghba	actions	object	Path
Remove-Pot	Fazék eltávolítása	actions	object	Pot-boiler
Remove-Bone	Csont eltávolítása	actions	object	Pot-boiler
Jump-down	Leugrás	actions	object	Rocks
Use-Driftwood	Sodrófa használata	actions	object	Embers
Climb-through (normal)	Átmászás (normál)	actions	object	Broken bars
Climb-through (private)	Átmászás (privát)	actions	object	Broken bars
Peek (normal)	Kukucskálás (normál)	actions	object	Broken bars
Eat	Evés	actions	object	Food Pile
Leap	Szökkenés	actions	object	Gap
Teleport to Destination	Teleportálás célhoz	actions	object	Obelisk
Set Destination	Célpont beállítása	actions	object	Obelisk
Hurdle	Akadályozás	actions	object	Ledge
Jump-off	Leugrás	actions	object	Edge
Vault	Trezor	actions	object	Pole-vault
Jump-in	Beugrás	actions	object	Pile of fish
Take-pickaxe	Csákány felvétele	actions	object	Rocks
Use-Lift	Lift használata	actions	object	Platform
Take-Beam	Gerenda felvétele	actions	object	Crate
Take-Pulley-Beam	Csigasor gerenda felvétele	actions	object	Crate
Take-Rope	Kötél felvétele	actions	object	Crate
Swing Across	Átlendülés	actions	object	Monkeybars
Home	Főoldal	actions	object	Portal
Build mode	Építési mód	actions	object	Portal
Friend's house	Barát háza	actions	object	Portal
Swing	Hintázás	actions	object	Rope
Sit-On	Ráülés	actions	object	Piano stool
Pick Nuts	Dió szedése	actions	object	Tchiki Monkey Nut Bush
Pick Banana	Banán szedése	actions	object	Strange banana tree
Throw	Dobás	actions	object	Shot
Unblock	Tiltás feloldása	actions	object	Tunnel
Take-Rum	Rum felvétele	actions	object	Conveyor Belt
Pump	Szivattyúzás	actions	object	Steam Pump
Vent	Szellőzés	actions	object	Steam Pump
Take-Log	Rönk felvétele	actions	object	Log Store
Take-Tool	Eszköz felvétele	actions	object	Workbench
Cut-Down	Kivágás	actions	object	Jungle tree
Pay-toll(2-Ecto)	Útdíj fizetése (2 Ecto)	actions	object	Energy Barrier
Jump-To	Ugrás ide	actions	object	Rock
Enter-cloud	Felhőbe lépés	actions	object	Cloud bank
Listen	Hallgatás	actions	object	Crevice
Manoeuvre-past	Elkerülés	actions	object	Tight-gap
Climb-under	Alámászás	actions	object	Castle wall
Climb-into	Bemászás	actions	object	Hole
Jump-onto	Felugrás	actions	object	Stepping stone
Press	Megnyomás	actions	object	Zero
Step-on	Rálépés	actions	object	Platform
Worship	Imádat	actions	object	Ectofuntus
Status	Állapot	actions	object	Bone grinder
Talk-To	Megszólítás	actions	object	Pirate Captain
Admire	Csodálat	actions	object	Tall mirror
Roll	Gördülés	actions	object	Dice
Grapple	Megragadás	actions	object	Rocks
Take-bowl	Tál felvétele	actions	object	Table
Sing-crystal	Kristály éneklése	actions	object	Singing bowl
test	teszt	actions	object	Argento
Crawl-under	Alábújás	actions	object	Wall
Fix	Javítás	actions	object	Bellows
Bend	Hajlítás	actions	object	Cell wall window
Steal	Lopás	actions	object	Candles
Deactivate	Deaktiválás	actions	object	Magic box
Trap	Csapda	actions	object	Pit
Flush	Átöblítés	actions	object	Rabbit hole
Shout-over	Átkiabálás	actions	object	Rockslide
Pull-down	Lehúzás	actions	object	Eagle lever
Push-up	Feltolás	actions	object	Eagle lever
Quick-start	Gyors indítás	actions	object	Ladder
Reset-wave	Hullám visszaállítása	actions	object	Door
Dunk	Bemerítés	actions	object	Lava crater
Block	Blokkolás	actions	object	Penance cave
Demolish	Lebontás	actions	object	Penance cave
Take-Arrows	Nyilak felvétele	actions	object	Attacker item machine
Take-Runes	Rúnák felvétele	actions	object	Attacker item machine
Stock-Up	Feltöltés	actions	object	Defender item machine
Take-Crackers	Keksz felvétele	actions	object	Defender item machine
Take-Tofu	Tofu felvétele	actions	object	Defender item machine
Take-Worms	Férgek felvétele	actions	object	Defender item machine
Take-Vial	Üvegcse felvétele	actions	object	Healer item machine
Take-Meat	Hús felvétele	actions	object	Healer item machine
Call	Hívás	actions	object	Horn of glory
Get-Spikes	Tüskék szerzése	actions	object	Petrified mushroom
Load	Betöltés	actions	object	Egg hopper
Evade	Kitérés	actions	object	Trap
Disable	Letiltás	actions	object	Trap
Harpoon	Szigonyozás	actions	object	Fishing spot
Cage	Ketreccsapda	actions	object	Fishing spot
Leave Tomb	Sír elhagyása	actions	object	Tomb Door
Quick-leave	Gyors távozás	actions	object	Tomb Door
Tread-softly	Halk léptek	actions	object	Icicles
Convert	Átalakítás	actions	object	Collector Converter
Check for Snakes	Kígyók keresése	actions	object	Urn
Charm Snake	Kígyó bűvölése	actions	object	Urn
Cut-wood	Favágás	actions	object	Woodcutting stump
Cross-bridge	Hídon átkelés	actions	object	Rope bridge
Exit-cave	Kilépés a barlangból	actions	object	Exit cavern
Decapitate	Lefejezés	actions	object	Ice Troll King
Jump-from	Leugrás	actions	object	Stepping stone
Peer-through	Átnézés	actions	object	Peephole
Add-bottom	Alap hozzáadása	actions	object	Crate
Return-to-Paterdomus	Visszatérés Paterdomusba	actions	object	Path
Excavate	Ásatás	actions	object	Statue
Quick Pass	Gyors áthaladás	actions	object	Flames
Tamper	Babrálás	actions	object	Device
Untie	Kibontás	actions	object	Zanik
Walk-along	Haladás	actions	object	Tunnel
Swing across	Átlendülés	actions	object	Monkeybars
Animate	Animálás	actions	object	Magical Animator
Check Kudos	Kudos ellenőrzése	actions	object	Information booth
Add finds	Leletek hozzáadása	actions	object	Storage crate
Clean	Tisztítás	actions	object	Specimen table
Talk-into	Rábeszélés	actions	object	Drain Pipe
Wind-up	Felhúzás	actions	object	Gramophone
Turn-Off	Kikapcsolás	actions	object	Gramophone
Climb up	Felmászás	actions	object	Beard
Exit-through	Kilépés erre	actions	object	Fire rift
Push-through	Áttolás	actions	object	Magical wheat
Dive in	Beugrás	actions	object	Whirlpool
Construct	Megépítés	actions	object	Pyre site
Rummage	Turkálás	actions	object	Skeleton
Burn-down	Leégetés	actions	object	Boil
Take From	Vétel innen	actions	object	Barrel of flour
Reach	Elérés	actions	object	Vent
Free	Felszabadítás	actions	object	King Arthur
Break	Törés	actions	object	Smashed window
Distract	Elterelés	actions	object	Eyes
Drink	Ivás	actions	object	Potion
Store	Tárolás	actions	object	Super ranging potion
Equip	Felszerelés	actions	object	Anti-dragon shield
Teleport	Teleportálás	actions	object	Zamorak altar
Tie-rope	Kötél megkötése	actions	object	Rock
Move	Mozgatás	actions	object	Boulder
Claim-staves	Pálcák átvétele	actions	object	Barrel
Climb-off	Lemászás	actions	object	Ice bridge
Crawl	Kúszás	actions	object	Cave
Join	Csatlakozás	actions	object	Challenge portal
Hammer	Kalapácsolás	actions	object	Broken strut
Toggle K/D	K/D váltása	actions	object	Wilderness Statistics
Make-raft	Tutaj készítése	actions	object	Old log
Toggle XP	XP váltása	actions	object	Deadman chest
Take-X	X felvétele	actions	object	Meat table
Serve	Felszolgálás	actions	object	Buffet table
Water	Öntözés	actions	object	Golovanova seedling
Bind	Megkötözés	actions	object	Blood Altar
Venerate	Tisztelet	actions	object	Dark Altar
Take-remains	Maradványok felvétele	actions	object	Kruk
Scale	Mérés	actions	object	Rocks
Walk on	Átkelés	actions	object	Vine
Look-in-all	Mindenbe benézés	actions	object	Hole
Disarm	Lefegyverzés	actions	object	Floor spikes
Pass through	Áthaladás	actions	object	Sliced web
Gaze-into	Benézés	actions	object	Burning brazier
Reset-time	Idő visszaállítása	actions	object	Burning brazier
Balance-across	Egyensúlyozás átkeléskor	actions	object	Steep roof
Leave Cavern	Barlang elhagyása	actions	object	Inanimate Altar
Story	Történet	actions	object	Juna
Climb over	Átmászás	actions	object	Broken cart
Claim	Átvétel	actions	object	Reward chest
Add-House	Ház hozzáadása	actions	object	House Advertisement
Visit-Last	Utolsó látogatás	actions	object	House Advertisement
Cross-to	Átkelés ide	actions	object	Rock
Setup	Beállítás	actions	object	Tip jar
Jars	Üvegek	actions	object	Boss lair display
Perks	Bónuszok	actions	object	Mounted Max Cape
Spellbook	Varázskönyv	actions	object	Mounted Magic Cape
Clip	Klip	actions	object	Topiary bush
Feed	Etetés	actions	object	Burning brazier
Take-hammer	Kalapács felvétele	actions	object	Crate
Take-knife	Kés felvétele	actions	object	Crate
Take-tinderbox	Tűzszerszám felvétele	actions	object	Crate
Take-concoction	Főzet felvétele	actions	object	Crate
Take-5 concoctions	5 főzet felvétele	actions	object	Crate
Take-10 concoctions	10 főzet felvétele	actions	object	Crate
Last-destination (ALP)	Utolsó célállomás (ALP)	actions	object	Fairy ring
Last-destination (ALS)	Utolsó célállomás (ALS)	actions	object	Fairy ring
Last-destination (ALR)	Utolsó célállomás (ALR)	actions	object	Fairy ring
Last-destination (ALQ)	Utolsó célállomás (ALQ)	actions	object	Fairy ring
Last-destination (AKP)	Utolsó célállomás (AKP)	actions	object	Fairy ring
Last-destination (AKS)	Utolsó célállomás (AKS)	actions	object	Fairy ring
Last-destination (AKR)	Utolsó célállomás (AKR)	actions	object	Fairy ring
Last-destination (AKQ)	Utolsó célállomás (AKQ)	actions	object	Fairy ring
Last-destination (AJP)	Utolsó célállomás (AJP)	actions	object	Fairy ring
Last-destination (AJS)	Utolsó célállomás (AJS)	actions	object	Fairy ring
Last-destination (AJR)	Utolsó célállomás (AJR)	actions	object	Fairy ring
Last-destination (AJQ)	Utolsó célállomás (AJQ)	actions	object	Fairy ring
Last-destination (DIP)	Utolsó célállomás (DIP)	actions	object	Fairy ring
Last-destination (DIS)	Utolsó célállomás (DIS)	actions	object	Fairy ring
Last-destination (DIR)	Utolsó célállomás (DIR)	actions	object	Fairy ring
Last-destination (DIQ)	Utolsó célállomás (DIQ)	actions	object	Fairy ring
Last-destination (DLP)	Utolsó célállomás (DLP)	actions	object	Fairy ring
Last-destination (DLS)	Utolsó célállomás (DLS)	actions	object	Fairy ring
Last-destination (DLR)	Utolsó célállomás (DLR)	actions	object	Fairy ring
Last-destination (DLQ)	Utolsó célállomás (DLQ)	actions	object	Fairy ring
Last-destination (DKP)	Utolsó célállomás (DKP)	actions	object	Fairy ring
Last-destination (DKS)	Utolsó célállomás (DKS)	actions	object	Fairy ring
Last-destination (DKR)	Utolsó célállomás (DKR)	actions	object	Fairy ring
Last-destination (DKQ)	Utolsó célállomás (DKQ)	actions	object	Fairy ring
Last-destination (DJP)	Utolsó célállomás (DJP)	actions	object	Fairy ring
Last-destination (DJS)	Utolsó célállomás (DJS)	actions	object	Fairy ring
Last-destination (DJR)	Utolsó célállomás (DJR)	actions	object	Fairy ring
Last-destination (DJQ)	Utolsó célállomás (DJQ)	actions	object	Fairy ring
Last-destination (CIP)	Utolsó célállomás (CIP)	actions	object	Fairy ring
Last-destination (CIS)	Utolsó célállomás (CIS)	actions	object	Fairy ring
Last-destination (CIR)	Utolsó célállomás (CIR)	actions	object	Fairy ring
Last-destination (CIQ)	Utolsó célállomás (CIQ)	actions	object	Fairy ring
Last-destination (CLP)	Utolsó célállomás (CLP)	actions	object	Fairy ring
Last-destination (CLS)	Utolsó célállomás (CLS)	actions	object	Fairy ring
Last-destination (CLR)	Utolsó célállomás (CLR)	actions	object	Fairy ring
Last-destination (CLQ)	Utolsó célállomás (CLQ)	actions	object	Fairy ring
Last-destination (CKP)	Utolsó célállomás (CKP)	actions	object	Fairy ring
Last-destination (CKS)	Utolsó célállomás (CKS)	actions	object	Fairy ring
Last-destination (CKR)	Utolsó célállomás (CKR)	actions	object	Fairy ring
Last-destination (CKQ)	Utolsó célállomás (CKQ)	actions	object	Fairy ring
Last-destination (CJP)	Utolsó célállomás (CJP)	actions	object	Fairy ring
Last-destination (CJS)	Utolsó célállomás (CJS)	actions	object	Fairy ring
Last-destination (CJR)	Utolsó célállomás (CJR)	actions	object	Fairy ring
Last-destination (CJQ)	Utolsó célállomás (CJQ)	actions	object	Fairy ring
Last-destination (BIP)	Utolsó célállomás (BIP)	actions	object	Fairy ring
Last-destination (BIS)	Utolsó célállomás (BIS)	actions	object	Fairy ring
Last-destination (BIR)	Utolsó célállomás (BIR)	actions	object	Fairy ring
Last-destination (BIQ)	Utolsó célállomás (BIQ)	actions	object	Fairy ring
Last-destination (BLP)	Utolsó célállomás (BLP)	actions	object	Fairy ring
Last-destination (BLS)	Utolsó célállomás (BLS)	actions	object	Fairy ring
Last-destination (BLR)	Utolsó célállomás (BLR)	actions	object	Fairy ring
Last-destination (BLQ)	Utolsó célállomás (BLQ)	actions	object	Fairy ring
Last-destination (BKP)	Utolsó célállomás (BKP)	actions	object	Fairy ring
Last-destination (BKS)	Utolsó célállomás (BKS)	actions	object	Fairy ring
Last-destination (BKR)	Utolsó célállomás (BKR)	actions	object	Fairy ring
Last-destination (BKQ)	Utolsó célállomás (BKQ)	actions	object	Fairy ring
Last-destination (BJP)	Utolsó célállomás (BJP)	actions	object	Fairy ring
Last-destination (BJS)	Utolsó célállomás (BJS)	actions	object	Fairy ring
Last-destination (BJR)	Utolsó célállomás (BJR)	actions	object	Fairy ring
Last-destination (BJQ)	Utolsó célállomás (BJQ)	actions	object	Fairy ring
Tree	Fa	actions	object	Spiritual Fairy Tree
Ring-Zanaris	Zanaris csörgése	actions	object	Spiritual Fairy Tree
Ring-configure	Gyűrű beállítása	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIP)	Gyűrű – utolsó célállomás (AIP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIS)	Gyűrű – utolsó célállomás (AIS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIR)	Gyűrű – utolsó célállomás (AIR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIQ)	Gyűrű – utolsó célállomás (AIQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALP)	Gyűrű – utolsó célállomás (ALP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALS)	Gyűrű – utolsó célállomás (ALS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALR)	Gyűrű – utolsó célállomás (ALR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALQ)	Gyűrű – utolsó célállomás (ALQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKP)	Gyűrű – utolsó célállomás (AKP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKS)	Gyűrű – utolsó célállomás (AKS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKR)	Gyűrű – utolsó célállomás (AKR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKQ)	Gyűrű – utolsó célállomás (AKQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJP)	Gyűrű – utolsó célállomás (AJP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJS)	Gyűrű – utolsó célállomás (AJS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJR)	Gyűrű – utolsó célállomás (AJR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJQ)	Gyűrű – utolsó célállomás (AJQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIP)	Gyűrű – utolsó célállomás (DIP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIS)	Gyűrű – utolsó célállomás (DIS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIR)	Gyűrű – utolsó célállomás (DIR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIQ)	Gyűrű – utolsó célállomás (DIQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLP)	Gyűrű – utolsó célállomás (DLP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLS)	Gyűrű – utolsó célállomás (DLS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLR)	Gyűrű – utolsó célállomás (DLR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLQ)	Gyűrű – utolsó célállomás (DLQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKP)	Gyűrű – utolsó célállomás (DKP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKS)	Gyűrű – utolsó célállomás (DKS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKR)	Gyűrű – utolsó célállomás (DKR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKQ)	Gyűrű – utolsó célállomás (DKQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJP)	Gyűrű – utolsó célállomás (DJP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJS)	Gyűrű – utolsó célállomás (DJS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJR)	Gyűrű – utolsó célállomás (DJR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJQ)	Gyűrű – utolsó célállomás (DJQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIP)	Gyűrű – utolsó célállomás (CIP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIS)	Gyűrű – utolsó célállomás (CIS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIR)	Gyűrű – utolsó célállomás (CIR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIQ)	Gyűrű – utolsó célállomás (CIQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLP)	Gyűrű – utolsó célállomás (CLP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLS)	Gyűrű – utolsó célállomás (CLS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLR)	Gyűrű – utolsó célállomás (CLR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLQ)	Gyűrű – utolsó célállomás (CLQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKP)	Gyűrű – utolsó célállomás (CKP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKS)	Gyűrű – utolsó célállomás (CKS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKR)	Gyűrű – utolsó célállomás (CKR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKQ)	Gyűrű – utolsó célállomás (CKQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJP)	Gyűrű – utolsó célállomás (CJP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJS)	Gyűrű – utolsó célállomás (CJS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJR)	Gyűrű – utolsó célállomás (CJR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJQ)	Gyűrű – utolsó célállomás (CJQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIP)	Gyűrű – utolsó célállomás (BIP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIS)	Gyűrű – utolsó célállomás (BIS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIR)	Gyűrű – utolsó célállomás (BIR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIQ)	Gyűrű – utolsó célállomás (BIQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLP)	Gyűrű – utolsó célállomás (BLP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLS)	Gyűrű – utolsó célállomás (BLS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLR)	Gyűrű – utolsó célállomás (BLR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLQ)	Gyűrű – utolsó célállomás (BLQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKP)	Gyűrű – utolsó célállomás (BKP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKS)	Gyűrű – utolsó célállomás (BKS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKR)	Gyűrű – utolsó célállomás (BKR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKQ)	Gyűrű – utolsó célállomás (BKQ)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJP)	Gyűrű – utolsó célállomás (BJP)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJS)	Gyűrű – utolsó célállomás (BJS)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJR)	Gyűrű – utolsó célállomás (BJR)	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJQ)	Gyűrű – utolsó célállomás (BJQ)	actions	object	Spiritual Fairy Tree
Craft-rune	Rúna készítése	actions	object	Altar
Fuel	Üzemanyagozás	actions	object	Brazier
Dispel	Feloszlatás	actions	object	Shimmering barrier
Shared	Megosztott	actions	object	Small storage unit
Take Rake	Gereblye felvétele	actions	object	Old tools
Take Spade	Ásó felvétele	actions	object	Old tools
Take Seed Dibber	Magvető felvétele	actions	object	Old tools
Pick-lots	Sok szedése	actions	object	Gourd tree
Quick-pass	Gyors áthaladás	actions	object	Mystical barrier
Coffer	Széf	actions	object	Furnace
Quick-exit	Gyors kilépés	actions	object	Cave exit
Travel to platform	Utazás a platformhoz	actions	object	Row boat
Leave platform	Platform elhagyása	actions	object	Row boat
Check count	Szám ellenőrzése	actions	object	Rock
Toggle warning	Figyelmeztetés váltása	actions	object	Rock
Seeds	Magvak	actions	object	Birdhouse (empty)
Interact	Interakció	actions	object	Birdhouse
Inject	Befecskendezés	actions	object	Sulliuscep
Jump on	Felugrás	actions	object	Rubber cap mushroom
Navigate	Navigálás	actions	object	Obstacle
Climb Down	Lemászás	actions	object	Trap Door
Climb Up	Felmászás	actions	object	Rope anchor
Dive	Merülés	actions	object	Rowboat
Build on	Építés ide	actions	object	Ring of Stones
Take tools	Eszközök felvétele	actions	object	Crate
Set up	Beállítás	actions	object	Drift net anchors
Take down	Lebontás	actions	object	Drift net anchors
Pick up	Felvétel	actions	object	Pile of Fishbowls
